date,home.team,home.score,away.team,away.score
09/12/2017,Real Madrid,5,Sevilla,0
09/12/2017,Valencia,2,Celta,1
10/12/2017,Betis,0,Ath Madrid,1
10/12/2017,Levante,1,Ath Bilbao,2
10/12/2017,Sociedad,0,Malaga,2
10/12/2017,Villarreal,0,Barcelona,2
11/12/2017,Espanol,0,Girona,1
15/12/2017,Sevilla,0,Levante,0
16/12/2017,Ath Bilbao,0,Sociedad,0
16/12/2017,Ath Madrid,1,Alaves,0
16/12/2017,Eibar,2,Valencia,1
17/12/2017,Barcelona,4,La Coruna,0
17/12/2017,Celta,0,Villarreal,1
17/12/2017,Girona,1,Getafe,0
17/12/2017,Las Palmas,2,Espanol,2
18/12/2017,Malaga,0,Betis,2
19/12/2017,Levante,0,Leganes,0
20/12/2017,Getafe,2,Las Palmas,0
20/12/2017,Sociedad,3,Sevilla,1
21/12/2017,Alaves,1,Malaga,0
21/12/2017,Eibar,4,Girona,1
22/12/2017,Betis,0,Ath Bilbao,2
22/12/2017,Espanol,1,Ath Madrid,0
23/12/2017,La Coruna,1,Celta,3
23/12/2017,Real Madrid,0,Barcelona,3
23/12/2017,Valencia,0,Villarreal,1
06/01/2018,Ath Madrid,2,Getafe,0
06/01/2018,Las Palmas,1,Eibar,2
06/01/2018,Sevilla,3,Betis,5
06/01/2018,Valencia,2,Girona,1
07/01/2018,Ath Bilbao,2,Alaves,0
07/01/2018,Barcelona,3,Levante,0
07/01/2018,Celta,2,Real Madrid,2
07/01/2018,Leganes,1,Sociedad,0
07/01/2018,Villarreal,1,La Coruna,1
08/01/2018,Malaga,0,Espanol,1
12/01/2018,Getafe,1,Malaga,0
13/01/2018,Eibar,0,Ath Madrid,1
13/01/2018,Girona,6,Las Palmas,0
13/01/2018,La Coruna,1,Valencia,2
13/01/2018,Real Madrid,0,Villarreal,1
14/01/2018,Alaves,1,Sevilla,0
14/01/2018,Espanol,1,Ath Bilbao,1
14/01/2018,Levante,0,Celta,1
14/01/2018,Sociedad,2,Barcelona,4
15/01/2018,Betis,3,Leganes,2
19/01/2018,Getafe,2,Ath Bilbao,2
20/01/2018,Ath Madrid,1,Girona,1
20/01/2018,Espanol,0,Sevilla,3
20/01/2018,Las Palmas,2,Valencia,1
20/01/2018,Villarreal,2,Levante,1
21/01/2018,Alaves,2,Leganes,2
21/01/2018,Betis,0,Barcelona,5
21/01/2018,Real Madrid,7,La Coruna,1
21/01/2018,Sociedad,1,Celta,2
22/01/2018,Eibar,1,Malaga,1
26/01/2018,Ath Bilbao,1,Eibar,1
27/01/2018,La Coruna,2,Levante,2
27/01/2018,Malaga,0,Girona,0
27/01/2018,Valencia,1,Real Madrid,4
27/01/2018,Villarreal,4,Sociedad,2
28/01/2018,Ath Madrid,3,Las Palmas,0
28/01/2018,Barcelona,2,Alaves,1
28/01/2018,Leganes,3,Espanol,2
28/01/2018,Sevilla,1,Getafe,1
29/01/2018,Celta,3,Betis,2
02/02/2018,Sociedad,5,La Coruna,0
03/02/2018,Alaves,2,Celta,1
03/02/2018,Betis,2,Villarreal,1
03/02/2018,Eibar,5,Sevilla,1
03/02/2018,Levante,2,Real Madrid,2
04/02/2018,Ath Madrid,1,Valencia,0
04/02/2018,Espanol,1,Barcelona,1
04/02/2018,Getafe,0,Leganes,0
04/02/2018,Girona,2,Ath Bilbao,0
05/02/2018,Las Palmas,1,Malaga,0
09/02/2018,Ath Bilbao,0,Las Palmas,0
10/02/2018,Leganes,0,Eibar,1
10/02/2018,Malaga,0,Ath Madrid,1
10/02/2018,Real Madrid,5,Sociedad,2
10/02/2018,Villarreal,1,Alaves,2
11/02/2018,Barcelona,0,Getafe,0
11/02/2018,Celta,2,Espanol,2
11/02/2018,Sevilla,1,Girona,0
11/02/2018,Valencia,3,Levante,1
12/02/2018,La Coruna,0,Betis,1
16/02/2018,Girona,3,Leganes,0
17/02/2018,Alaves,1,La Coruna,0
17/02/2018,Eibar,0,Barcelona,2
17/02/2018,Las Palmas,1,Sevilla,2
17/02/2018,Malaga,1,Valencia,2
18/02/2018,Ath Madrid,2,Ath Bilbao,0
18/02/2018,Betis,3,Real Madrid,5
18/02/2018,Espanol,1,Villarreal,1
18/02/2018,Sociedad,3,Levante,0
19/02/2018,Getafe,3,Celta,0
21/02/2018,Leganes,1,Real Madrid,3
23/02/2018,La Coruna,0,Espanol,0
24/02/2018,Barcelona,6,Girona,1
24/02/2018,Celta,2,Eibar,0
24/02/2018,Leganes,0,Las Palmas,0
24/02/2018,Real Madrid,4,Alaves,0
25/02/2018,Ath Bilbao,2,Malaga,1
25/02/2018,Sevilla,2,Ath Madrid,5
25/02/2018,Valencia,2,Sociedad,1
25/02/2018,Villarreal,1,Getafe,0
26/02/2018,Levante,0,Betis,2
27/02/2018,Espanol,1,Real Madrid,0
27/02/2018,Girona,1,Celta,0
28/02/2018,Ath Bilbao,1,Valencia,1
28/02/2018,Ath Madrid,4,Leganes,0
28/02/2018,Eibar,1,Villarreal,0
28/02/2018,Getafe,3,La Coruna,0
28/02/2018,Malaga,0,Sevilla,1
01/03/2018,Alaves,1,Levante,0
01/03/2018,Betis,0,Sociedad,0
01/03/2018,Las Palmas,1,Barcelona,1
03/03/2018,La Coruna,1,Eibar,1
03/03/2018,Leganes,2,Malaga,0
03/03/2018,Real Madrid,3,Getafe,1
03/03/2018,Sevilla,2,Ath Bilbao,0
03/03/2018,Villarreal,0,Girona,2
04/03/2018,Barcelona,1,Ath Madrid,0
04/03/2018,Levante,1,Espanol,1
04/03/2018,Sociedad,2,Alaves,1
04/03/2018,Valencia,2,Betis,0
05/03/2018,Celta,2,Las Palmas,1
09/03/2018,Girona,2,La Coruna,0
10/03/2018,Eibar,1,Real Madrid,2
10/03/2018,Getafe,0,Levante,1
10/03/2018,Malaga,0,Barcelona,2
10/03/2018,Sevilla,0,Valencia,2
11/03/2018,Ath Bilbao,2,Leganes,0
11/03/2018,Ath Madrid,3,Celta,0
11/03/2018,Espanol,2,Sociedad,1
11/03/2018,Las Palmas,0,Villarreal,2
12/03/2018,Alaves,1,Betis,3
16/03/2018,Levante,2,Eibar,1
17/03/2018,Betis,3,Espanol,0
17/03/2018,La Coruna,1,Las Palmas,1
17/03/2018,Sociedad,1,Getafe,2
17/03/2018,Valencia,3,Alaves,1
18/03/2018,Barcelona,2,Ath Bilbao,0
18/03/2018,Celta,0,Malaga,0
18/03/2018,Leganes,2,Sevilla,1
18/03/2018,Real Madrid,6,Girona,3
18/03/2018,Villarreal,2,Ath Madrid,1
31/03/2018,Ath Bilbao,1,Celta,1
31/03/2018,Girona,1,Levante,1
31/03/2018,Las Palmas,0,Real Madrid,3
31/03/2018,Sevilla,2,Barcelona,2
01/04/2018,Ath Madrid,1,La Coruna,0
01/04/2018,Eibar,0,Sociedad,0
01/04/2018,Espanol,0,Alaves,0
01/04/2018,Leganes,0,Valencia,1
01/04/2018,Malaga,1,Villarreal,0
02/04/2018,Getafe,0,Betis,1
06/04/2018,La Coruna,3,Malaga,2
07/04/2018,Alaves,2,Getafe,0
07/04/2018,Barcelona,3,Leganes,1
07/04/2018,Betis,2,Eibar,0
07/04/2018,Celta,4,Sevilla,0
08/04/2018,Levante,2,Las Palmas,1
08/04/2018,Real Madrid,1,Ath Madrid,1
08/04/2018,Sociedad,5,Girona,0
08/04/2018,Valencia,1,Espanol,0
09/04/2018,Villarreal,1,Ath Bilbao,3
13/04/2018,Girona,0,Betis,1
14/04/2018,Ath Bilbao,2,La Coruna,3
14/04/2018,Barcelona,2,Valencia,1
14/04/2018,Las Palmas,0,Sociedad,1
14/04/2018,Leganes,1,Celta,0
14/04/2018,Sevilla,2,Villarreal,2
15/04/2018,Ath Madrid,3,Levante,0
15/04/2018,Eibar,0,Alaves,1
15/04/2018,Getafe,1,Espanol,0
15/04/2018,Malaga,1,Real Madrid,2
17/04/2018,Celta,2,Barcelona,2
17/04/2018,La Coruna,0,Sevilla,0
17/04/2018,Villarreal,2,Leganes,1
18/04/2018,Espanol,0,Eibar,1
18/04/2018,Real Madrid,1,Ath Bilbao,1
18/04/2018,Valencia,1,Getafe,2
19/04/2018,Alaves,1,Girona,2
19/04/2018,Betis,1,Las Palmas,0
19/04/2018,Levante,1,Malaga,0
19/04/2018,Sociedad,3,Ath Madrid,0
20/04/2018,Leganes,0,La Coruna,0
21/04/2018,Celta,1,Valencia,1
21/04/2018,Eibar,0,Getafe,1
22/04/2018,Ath Madrid,0,Betis,0
22/04/2018,Girona,0,Espanol,2
22/04/2018,Las Palmas,0,Alaves,4
22/04/2018,Malaga,2,Sociedad,0
23/04/2018,Ath Bilbao,1,Levante,3
27/04/2018,Levante,2,Sevilla,1
28/04/2018,Espanol,1,Las Palmas,1
28/04/2018,Real Madrid,2,Leganes,1
28/04/2018,Sociedad,3,Ath Bilbao,1
28/04/2018,Villarreal,4,Celta,1
29/04/2018,Alaves,0,Ath Madrid,1
29/04/2018,Getafe,1,Girona,1
29/04/2018,La Coruna,2,Barcelona,4
29/04/2018,Valencia,0,Eibar,0
30/04/2018,Betis,2,Malaga,1
04/05/2018,Sevilla,1,Sociedad,0
05/05/2018,Ath Bilbao,2,Betis,0
05/05/2018,Celta,1,La Coruna,1
05/05/2018,Girona,1,Eibar,4
05/05/2018,Villarreal,1,Valencia,0
06/05/2018,Ath Madrid,0,Espanol,2
06/05/2018,Barcelona,2,Real Madrid,2
06/05/2018,Las Palmas,0,Getafe,1
06/05/2018,Malaga,0,Alaves,3
07/05/2018,Leganes,0,Levante,3
09/05/2018,Barcelona,5,Villarreal,1
09/05/2018,Sevilla,3,Real Madrid,2
12/05/2018,Alaves,3,Ath Bilbao,1
12/05/2018,Betis,2,Sevilla,2
12/05/2018,Eibar,1,Las Palmas,0
12/05/2018,Getafe,0,Ath Madrid,1
12/05/2018,Girona,0,Valencia,1
12/05/2018,La Coruna,2,Villarreal,4
12/05/2018,Real Madrid,6,Celta,0
12/05/2018,Sociedad,3,Leganes,2
13/05/2018,Espanol,4,Malaga,1
13/05/2018,Levante,5,Barcelona,4
19/05/2018,Celta,4,Levante,2
19/05/2018,Las Palmas,1,Girona,2
19/05/2018,Leganes,3,Betis,2
19/05/2018,Malaga,0,Getafe,1
19/05/2018,Sevilla,1,Alaves,0
19/05/2018,Villarreal,2,Real Madrid,2
20/05/2018,Ath Bilbao,0,Espanol,1
20/05/2018,Ath Madrid,2,Eibar,2
20/05/2018,Barcelona,1,Sociedad,0
20/05/2018,Valencia,2,La Coruna,1
17/08/2018,Betis,0,Levante,3
17/08/2018,Girona,0,Valladolid,0
18/08/2018,Barcelona,3,Alaves,0
18/08/2018,Celta,1,Espanol,1
18/08/2018,Villarreal,1,Sociedad,2
19/08/2018,Eibar,1,Huesca,2
19/08/2018,Real Madrid,2,Getafe,0
19/08/2018,Vallecano,1,Sevilla,4
20/08/2018,Ath Bilbao,2,Leganes,1
20/08/2018,Valencia,1,Ath Madrid,1
24/08/2018,Getafe,2,Eibar,0
24/08/2018,Leganes,2,Sociedad,2
25/08/2018,Alaves,0,Betis,0
25/08/2018,Ath Madrid,1,Vallecano,0
25/08/2018,Valladolid,0,Barcelona,1
26/08/2018,Espanol,2,Valencia,0
26/08/2018,Girona,1,Real Madrid,4
26/08/2018,Sevilla,0,Villarreal,0
27/08/2018,Ath Bilbao,2,Huesca,2
27/08/2018,Levante,1,Celta,2
31/08/2018,Eibar,2,Sociedad,1
31/08/2018,Getafe,0,Valladolid,0
31/08/2018,Villarreal,0,Girona,1
01/09/2018,Celta,2,Ath Madrid,0
01/09/2018,Real Madrid,4,Leganes,1
02/09/2018,Alaves,2,Espanol,1
02/09/2018,Barcelona,8,Huesca,2
02/09/2018,Betis,1,Sevilla,0
02/09/2018,Levante,2,Valencia,2
14/09/2018,Huesca,0,Vallecano,1
15/09/2018,Ath Bilbao,1,Real Madrid,1
15/09/2018,Ath Madrid,1,Eibar,1
15/09/2018,Sociedad,1,Barcelona,2
15/09/2018,Valencia,0,Betis,0
16/09/2018,Espanol,1,Levante,0
16/09/2018,Leganes,0,Villarreal,1
16/09/2018,Sevilla,0,Getafe,2
16/09/2018,Valladolid,0,Alaves,1
17/09/2018,Girona,3,Celta,2
21/09/2018,Huesca,0,Sociedad,1
22/09/2018,Celta,3,Valladolid,3
22/09/2018,Eibar,1,Leganes,0
22/09/2018,Getafe,0,Ath Madrid,2
22/09/2018,Real Madrid,1,Espanol,0
22/09/2018,Vallecano,1,Alaves,5
23/09/2018,Barcelona,2,Girona,2
23/09/2018,Betis,2,Ath Bilbao,2
23/09/2018,Levante,2,Sevilla,6
23/09/2018,Villarreal,0,Valencia,0
25/09/2018,Ath Madrid,3,Huesca,0
25/09/2018,Espanol,1,Eibar,0
25/09/2018,Sociedad,2,Vallecano,2
26/09/2018,Ath Bilbao,0,Villarreal,3
26/09/2018,Leganes,2,Barcelona,1
26/09/2018,Sevilla,3,Real Madrid,0
26/09/2018,Valencia,1,Celta,1
27/09/2018,Alaves,1,Getafe,1
27/09/2018,Girona,0,Betis,1
27/09/2018,Valladolid,2,Levante,1
28/09/2018,Vallecano,2,Espanol,2
29/09/2018,Barcelona,1,Ath Bilbao,1
29/09/2018,Eibar,1,Sevilla,3
29/09/2018,Real Madrid,0,Ath Madrid,0
29/09/2018,Sociedad,0,Valencia,1
30/09/2018,Betis,1,Leganes,0
30/09/2018,Huesca,1,Girona,1
30/09/2018,Levante,2,Alaves,1
30/09/2018,Villarreal,0,Valladolid,1
01/10/2018,Celta,1,Getafe,1
05/10/2018,Ath Bilbao,1,Sociedad,3
06/10/2018,Alaves,1,Real Madrid,0
06/10/2018,Getafe,0,Levante,1
06/10/2018,Girona,2,Eibar,3
06/10/2018,Leganes,1,Vallecano,0
07/10/2018,Ath Madrid,1,Betis,0
07/10/2018,Espanol,3,Villarreal,1
07/10/2018,Sevilla,2,Celta,1
07/10/2018,Valencia,1,Barcelona,1
07/10/2018,Valladolid,1,Huesca,0
19/10/2018,Celta,0,Alaves,1
20/10/2018,Barcelona,4,Sevilla,2
20/10/2018,Real Madrid,1,Levante,2
20/10/2018,Valencia,1,Leganes,1
20/10/2018,Villarreal,1,Ath Madrid,1
21/10/2018,Betis,0,Valladolid,1
21/10/2018,Eibar,1,Ath Bilbao,1
21/10/2018,Huesca,0,Espanol,2
21/10/2018,Vallecano,1,Getafe,2
22/10/2018,Sociedad,0,Girona,0
24/10/2018,Vallecano,1,Ath Bilbao,1
26/10/2018,Valladolid,1,Espanol,1
27/10/2018,Ath Bilbao,0,Valencia,0
27/10/2018,Ath Madrid,2,Sociedad,0
27/10/2018,Celta,4,Eibar,0
27/10/2018,Girona,2,Vallecano,1
27/10/2018,Levante,2,Leganes,0
28/10/2018,Alaves,2,Villarreal,1
28/10/2018,Barcelona,5,Real Madrid,1
28/10/2018,Getafe,2,Betis,0
28/10/2018,Sevilla,2,Huesca,1
03/11/2018,Leganes,1,Ath Madrid,1
03/11/2018,Real Madrid,2,Valladolid,0
03/11/2018,Valencia,0,Girona,1
03/11/2018,Vallecano,2,Barcelona,3
04/11/2018,Betis,3,Celta,3
04/11/2018,Eibar,2,Alaves,1
04/11/2018,Huesca,1,Getafe,1
04/11/2018,Sociedad,0,Sevilla,0
04/11/2018,Villarreal,1,Levante,1
05/11/2018,Espanol,1,Ath Bilbao,0
09/11/2018,Levante,1,Sociedad,3
10/11/2018,Ath Madrid,3,Ath Bilbao,2
10/11/2018,Getafe,0,Valencia,1
10/11/2018,Girona,0,Leganes,0
10/11/2018,Valladolid,0,Eibar,0
11/11/2018,Alaves,2,Huesca,1
11/11/2018,Barcelona,3,Betis,4
11/11/2018,Celta,2,Real Madrid,4
11/11/2018,Sevilla,2,Espanol,1
11/11/2018,Vallecano,2,Villarreal,2
23/11/2018,Leganes,1,Alaves,0
24/11/2018,Ath Madrid,1,Barcelona,1
24/11/2018,Eibar,3,Real Madrid,0
24/11/2018,Huesca,2,Levante,2
24/11/2018,Valencia,3,Vallecano,0
25/11/2018,Ath Bilbao,1,Getafe,1
25/11/2018,Espanol,1,Girona,3
25/11/2018,Sevilla,1,Valladolid,0
25/11/2018,Villarreal,2,Betis,1
26/11/2018,Sociedad,2,Celta,1
30/11/2018,Vallecano,1,Eibar,0
01/12/2018,Celta,2,Huesca,0
01/12/2018,Getafe,3,Espanol,0
01/12/2018,Real Madrid,2,Valencia,0
01/12/2018,Valladolid,2,Leganes,4
02/12/2018,Alaves,1,Sevilla,1
02/12/2018,Barcelona,2,Villarreal,0
02/12/2018,Betis,1,Sociedad,0
02/12/2018,Girona,1,Ath Madrid,1
03/12/2018,Levante,3,Ath Bilbao,0
07/12/2018,Leganes,1,Getafe,1
08/12/2018,Ath Madrid,3,Alaves,0
08/12/2018,Espanol,0,Barcelona,4
08/12/2018,Valencia,1,Sevilla,1
08/12/2018,Villarreal,2,Celta,3
09/12/2018,Betis,2,Vallecano,0
09/12/2018,Eibar,4,Levante,4
09/12/2018,Huesca,0,Real Madrid,1
09/12/2018,Sociedad,1,Valladolid,2
10/12/2018,Ath Bilbao,1,Girona,0
14/12/2018,Celta,0,Leganes,0
15/12/2018,Eibar,1,Valencia,1
15/12/2018,Getafe,1,Sociedad,0
15/12/2018,Real Madrid,1,Vallecano,0
15/12/2018,Valladolid,2,Ath Madrid,3
16/12/2018,Espanol,1,Betis,3
16/12/2018,Huesca,2,Villarreal,2
16/12/2018,Levante,0,Barcelona,5
16/12/2018,Sevilla,2,Girona,0
17/12/2018,Alaves,0,Ath Bilbao,0
21/12/2018,Girona,1,Getafe,1
21/12/2018,Sociedad,0,Alaves,1
22/12/2018,Ath Bilbao,1,Valladolid,1
22/12/2018,Ath Madrid,1,Espanol,0
22/12/2018,Barcelona,2,Celta,0
22/12/2018,Betis,1,Eibar,1
23/12/2018,Leganes,1,Sevilla,1
23/12/2018,Valencia,2,Huesca,1
23/12/2018,Vallecano,2,Levante,1
03/01/2019,Villarreal,2,Real Madrid,2
04/01/2019,Espanol,1,Leganes,0
04/01/2019,Levante,2,Girona,2
05/01/2019,Alaves,2,Valencia,1
05/01/2019,Huesca,2,Betis,1
05/01/2019,Valladolid,0,Vallecano,1
06/01/2019,Eibar,0,Villarreal,0
06/01/2019,Getafe,1,Barcelona,2
06/01/2019,Real Madrid,0,Sociedad,2
06/01/2019,Sevilla,1,Ath Madrid,1
07/01/2019,Celta,1,Ath Bilbao,2
11/01/2019,Vallecano,4,Celta,2
12/01/2019,Girona,1,Alaves,1
12/01/2019,Leganes,1,Huesca,0
12/01/2019,Valencia,1,Valladolid,1
12/01/2019,Villarreal,1,Getafe,2
13/01/2019,Ath Bilbao,2,Sevilla,0
13/01/2019,Ath Madrid,1,Levante,0
13/01/2019,Barcelona,3,Eibar,0
13/01/2019,Betis,1,Real Madrid,2
14/01/2019,Sociedad,3,Espanol,2
18/01/2019,Getafe,4,Alaves,0
19/01/2019,Celta,1,Valencia,2
19/01/2019,Huesca,0,Ath Madrid,3
19/01/2019,Real Madrid,2,Sevilla,0
20/01/2019,Barcelona,3,Leganes,1
20/01/2019,Betis,3,Girona,2
20/01/2019,Levante,2,Valladolid,0
20/01/2019,Vallecano,2,Sociedad,2
20/01/2019,Villarreal,1,Ath Bilbao,1
21/01/2019,Eibar,3,Espanol,0
26/01/2019,Ath Madrid,2,Getafe,0
26/01/2019,Leganes,2,Eibar,2
26/01/2019,Sevilla,5,Levante,0
26/01/2019,Valencia,3,Villarreal,0
27/01/2019,Ath Bilbao,1,Betis,0
27/01/2019,Espanol,2,Real Madrid,4
27/01/2019,Girona,0,Barcelona,2
27/01/2019,Sociedad,0,Huesca,0
27/01/2019,Valladolid,2,Celta,1
28/01/2019,Alaves,0,Vallecano,1
01/02/2019,Huesca,4,Valladolid,0
02/02/2019,Barcelona,2,Valencia,2
02/02/2019,Celta,1,Sevilla,0
02/02/2019,Levante,0,Getafe,0
02/02/2019,Sociedad,2,Ath Bilbao,1
03/02/2019,Betis,1,Ath Madrid,0
03/02/2019,Eibar,3,Girona,0
03/02/2019,Real Madrid,3,Alaves,0
03/02/2019,Villarreal,2,Espanol,2
04/02/2019,Vallecano,1,Leganes,2
08/02/2019,Valladolid,0,Villarreal,0
09/02/2019,Ath Madrid,1,Real Madrid,3
09/02/2019,Espanol,2,Vallecano,1
09/02/2019,Getafe,3,Celta,1
09/02/2019,Girona,0,Huesca,2
10/02/2019,Ath Bilbao,0,Barcelona,0
10/02/2019,Leganes,3,Betis,0
10/02/2019,Sevilla,2,Eibar,2
10/02/2019,Valencia,0,Sociedad,0
11/02/2019,Alaves,2,Levante,0
15/02/2019,Eibar,2,Getafe,2
16/02/2019,Barcelona,1,Valladolid,0
16/02/2019,Celta,1,Levante,4
16/02/2019,Sociedad,3,Leganes,0
16/02/2019,Vallecano,0,Ath Madrid,1
17/02/2019,Betis,1,Alaves,1
17/02/2019,Real Madrid,1,Girona,2
17/02/2019,Valencia,0,Espanol,0
17/02/2019,Villarreal,3,Sevilla,0
18/02/2019,Huesca,0,Ath Bilbao,1
22/02/2019,Espanol,1,Huesca,1
23/02/2019,Alaves,0,Celta,0
23/02/2019,Ath Bilbao,1,Eibar,0
23/02/2019,Getafe,2,Vallecano,1
23/02/2019,Sevilla,2,Barcelona,4
24/02/2019,Ath Madrid,2,Villarreal,0
24/02/2019,Leganes,1,Valencia,1
24/02/2019,Levante,1,Real Madrid,2
24/02/2019,Valladolid,0,Betis,2
25/02/2019,Girona,0,Sociedad,0
